Serial No.,Image,Name (Primary Key),Meal Type,Cuisine,Prep Time (in minutes),Cooking time (in minutes),Serving Size (in gms),Calories (Approx),Best Cooking Method
1,,Greek Yougurt and Muesli with Blueberries,Breakfast,Continental,5,0,130,190,No Cooking
2,,Shakshuka,Breakfast,African,10,15,100,102,Gas Stove
3,, Bread Roll,Breakfast,Continental,40,30,80,12,Oven
4,,Aloo Gobi Paratha,Breakfast,Indian,10,20,100,264,Gas Stove
5,,Chicken Burger,Breakfast,American,10,10,100,280,Grill
6,,Baked Pink Salmon with corn rice,Lunch,Mediterranean,15,20,200,330,Oven
7,,Chicken Pizza,Lunch,Italian,10,15,100,243,Oven
8,,Mexican Tortilla Wrap,Lunch,Mexican,10,20,100,296,Gas Stove
9,,Cherry Tomatoes and Feta salad,Lunch,Continental,5,0,100,150,No Cooking
10,,Butter Chicken,Lunch,Indian,15,25,100,200,Gas Stove
11,,Chicken Momo,Dinner,Tibetan,10,30,100,183,Steamer
12,,Chicken Roll,Dinner,Indian,10,20,100,189,Gas Stove
13,,Chicken Turnover,Dinner,French,30,25,100,null,Air Fryer
14,,Beetroot Leek Soup,Dinner,Continental,10,10,100,71,Instapot
15,,Chana Daal,Dinner,Indian,10,15,100,252,Gas Stove
16,,Cabbage with carrot,Dinner,Indian,5,15,100,50,Gas Stove
17,,Pear Tea Cake,Snacks,British,15,45,100,400,Oven
18,,Dahi Papri Chaat,Snacks,Indian,10,0,100,189,No Cooking
19,,Toasties with Paneer Capcsicum topping,Snacks,Continental,10,5,125,244,Toaster
20,,Blueberry Cookie,Snacks,British,60,10,100,409,Oven
21,,Espresso Brownie,Dessert,American,30,30,100,356,Oven
22,,Apple Pie,Dessert,Bristish,180,60,100,237,Oven
23,,Blue sticky rice with Mango,Dessert,Thai,180,30,100,141,Gas Stove
